product_id,product_title,title_en,user_id,likes,dislikes,verification_status,recommend,title,comment,advantages,disadvantages
3692,ماوس بی‌سیم لاجیتک مدل M325,IT,989472,0,0,verified,\N,,واقعا عالیه. من که ازش خیلی راضیم,,
90213,شارژر همراه شیاومی مدل NDY-02-AN با ظرفیت 10000 میلی آمپر ساعت,AC,3862150,4,1,verified,recommended,واقعاً عالیه,"سلام، قبل اینکه نظرم رو بگم میخواستم به یک موضوع مهم اشاره کنم که نظراتی که ما برای کالاها ثبت میکنیم خیلی مهم هستن، چون بسیاری از مردم عزیز با استناد به این نظرات یک کالا رو خریداری میکنن. پس بهتره ک نظر غیر کارشناسی و الکی ندیم._x000D_
_x000D_
من ۲سال این پاور بانک رو دارم، برای ۲نفر اشنا هم خریدم، پیشنهاد ویژه بود خریدم، واقعا از هر نظر عالیه، بعد گذشت ۲سال هنوزم ۵بار ایفون se رو شارژ میکنه، در خصوص زمان شارژ گفته بودن دوستان، اگر با کابل خود پاور شارژ کنید حدود ۶ساعت فول میشه، اما اگر هر کابل دیگه ای وصل کنید ۱۲تا۱۸ ساعت طول میکشه._x000D_
همزمان با این پاور یک adata 10000 هم برای همسرم خریدم ، اونم خوب درومد ولی حدود ۳۰‎٪ افت داشته و کمتر بازدهی شارژ داره._x000D_
_x000D_
طبق تجربه من و اطرافیانم ک شیائومی داشتن، اگر کالایی ک میخرید اصل باشه(فیک زیاد داره) واقعا شیائومی حرف اول و میزنه، _x000D_
anker هم برند خیلی خوب ولی گرونه، هفته پیش از دیجی خریدم a1214 اونم واقعا سبک و عالیه و بازدهی بالایی داره.(۲خروجی هوشمند داره،مجموع ۳امپر میده،حداکثر یک خروجی ۲.۴ میده)_x000D_
_x000D_
ببخشید طولانی شد.","[""عمر طولانی\r"",""افت بسیار کم میزان شارژ\r"",""امپر خروجی هوشمند متناسب با امپر گوشی""]","[""ندارد""]"
59473,یدک پولیشر میکروفایبر مهسان مدل 20119,HW,626843,1,0,verified,not_recommended,خیلی سخت حوله اش در میاد,"گیره های فلزی خیلی سخت تا میشوند و لذا حوله را خیلی سخت می توان در آورد _x000D_
_x000D_
مهسان یه مدل دیگه داره که پلاستیکی هست و خیلی ساده و راحت خم می شود_x000D_
_x000D_
به نظرم تولید این طرح را باید متوقف کنن چون گیره های آهنی خیلی سفت هستن و وقتی می خواستم خمشون کنم پایه پلاستیکیش شکست و بلا استفاده شد",,
120499,گوشی موبایل هوآوی آنر مدل 5X KIW-L21 دو سیم‌کارت,MO,786887,6,11,verified,no_idea,گوشی مقرون به صرفه,"همه چیز در رابطه با ظاهر این گوشی بسیار خوب است. بدنه یکپارچه فلزی-پلاستیکی و صفحه نمایش با کیفیت حسی ارزنده را منتقل میکند. در مقایسه با قیمت از بسیاری از گوشی های همرده پرتوان تر است و امکانات زیادی را در اختیار کاربر میگذارد. تنها مورد قدرت پردازنده گرافیکی و CPU گوشی است که با توجه به رزولوشن بالای صفحه نمایش مقداری در اجرای بازی های سنگین کم می آورد. همچنین حجم زیادی از رم محدود 2 گیگی این گوشی توسط سیستم اشغال میشود و در بهترین مواقع تنها نیمی از آن قابل اسفاده برنامه های دیگر است. _x000D_
مورد دیگر کیفیت پایین دوربین و کیفیت پایینتر اسپیکر است. تصاویر هر دو دوربین بسیار پر نویز  و تار هستند. تنها با استفاده از فلش و یا در نور روز تصاویر بهتری میتوان ثبت کرد. صدایی که از اسپیکر خارج میشود خیلی بیکیفیت و دارای اکو و نویز بالاست. اما کیفیت صدای خروجی هدفون بسیار خوب است._x000D_
باتری در کارهای متداول سبک تا معمولی کارایی خوبی دارد، اما هنگام اجرای برنامه های سنگین خیلی زود خالی میشود. زمان شارژ شدن باتری نیز نسبتا طولانی است. (حدود 3 ساعت)_x000D_
در کل این گوشی را به کسانی که استفاده سنگین مولتی تسکینگ و گیم دارند پیشنهاد نمیکنم. اما اگر کسی هستید که وبگردی، تماشای ویدئو و استفاده از برنامه های  سبک بخش اعظم استفاده شما از گوشی موبایل هستند، دوربین و اسپیکر برایتان از نان شب واجب تر نیست و به ظاهری زیبا و بدنه با کیفیت اهمیت میدهید در خرید آن شک نکنید.","[""صفحه نمایش پرنور و با کیفیت\r"",""کیفیت بالای ساخت\r"",""باتری با دوام\r"",""حسگر اثر انگشت\r"",""2 سیم کارت و شیار کارت حافظه مجزا""]","[""کیفیت پایین اسپیکر\r"",""حاشیه خالی زیر صفحه نمایش\r"",""عدم وجود ژیروسکوپ و NFC\r"",""دوربین بی کیفیت\r"",""تاخیر در آپدیت مارشملو و رابط کاربری سنگین""]"
67200,شارژر همراه شیائومی مدل Mi ظرفیت 5000 میلی آمپر ساعت,AC,854531,19,4,verified,no_idea,ابعاد، استحکام و نگهداری شارژ مناسب,"اگر ظرفیتش براتون کافیه حتما بخرید._x000D_
یه شارژر 5 ولت 2 آمپر براش تهیه کنید تا سریعتر شارژ شه. خود برند شیائومی شارژر های خوبی داره._x000D_
ظرافتش خوبه و وزن و ضخامت کمی داره و مثل یه موبایل راحت حمل میشه. البته پیشنهاد من ظرفیت های بالاتر هست. چون این مدل بسته به ظرفیت باتری گوشیتون صرفا به اندازه یک الی 2 بار شارژ کردن، انرژی ذخیره میکنه.","[""ظریف و زیبا و باریک\r"",""بدنه محکم و با دوام""]","[""ظرفیت متوسط""]"
133722,لپ تاپ 15 اینچی ایسوس مدل N501VW - A,IT,497032,6,1,verified,recommended,اقرار بیش از حد در ایراد گرفتن,"سلام دوستان،،_x000D_
منم مثه بعضی از دوستان قبل از خرید کلی تحقیق در مورد این لپ تاپ عالی انجام دادم و به این نتیجه رسیدم که از مدل های مشابه همین شرکت و شرکت های دیگه واقعا بهتره،، در طول تحقیق هم به اون ویدیو هایی که بعضی دوستامون اشاره کردن هم برخوردم که از براق بودن صفحه نمایش و لق بودن لولاهای لپ تاپ موقع استفاده از تاچ اسکرین ایراد گرفته بودن، منم خیلی ترسیدم از این بابت ولی وقتی که تصمیم گرفتم که انتخابم رو نهایی کنم و بدستم رسید لپ تاپ دیدم واقعا تمام اون گفته ها اقراری بیش نبوده و اصلا خبری از لق زدن صفحه نیست موقع تاچ مگر اینکه بخوای محکم بکوبی انگشتتو که اونوقت تو هر لپ تاپی مسئله لق زدن هست، ولی از این بابت هیچ مشکلی نیست و کاملا محکمه._x000D_
در مورد بازتاب بیش از حد صفحه نمایش هم همینطور فقط اقرار شده، اگر بخوای تو محیط بسته قرار داشته باشی با یه پروژکتور  رو بروی صفحه بازهم این مسئله واسه همه لپ تاپ ها هست، و اینکه اگه حتی با یه لپ تاپی که صفحه مات داشته باشه بخوای تو فضای آزاد زیر نور شدید خورشید کار کنی محتوای صفحه ی اون رو هم نمیبینی (گفتم اینارو چون لپ تاپ قبلیم صفحش مات بوده و تجربه کردم)  ولی تو شرایط عادی و استفاده روزمره به مشکلی باهاش برنمیخوری._x000D_
امیدوارم تونسته باشم تو رفع بعضی شبهه ها واسه بعضی از دوستامون کمک کرده باشم.","[""همه چیز که تو مشخصات اومده بجز 3 مورد کوچیک""]","[""تاچ پدش میتونست بهتر باشه از نظر سرعت پاسخ گویی و حس کیفیت\r"",""بلندگوهاش میتونستن بهتر باشن از نظر بلندی و صدای بم (که البته با هدفون حل میشه)\r"",""ویندوز اوریجینالش میتونست نسخه ی pro باشه بجای home""]"
148509,اسپیکر بلوتوثی دیووم مدل Bluetune bean,IT,574130,3,0,verified,recommended,بسیار خوب,"من چند سالی هست که این اسپیکرو خریدم و واقعا حرف نداره _x000D_
با برندای دیگه مثل شیائومی و جی بی ال و مارکای دیگه مقایسه کردم یه سرو گردن از همه لحاظ بالاتره اصلا تو خریدش شک نکنید","[""کیفیت ساخت بسیار خوب\r"",""کیفیت صدا بسیار عالی\r"",""باتری نسبتا عالی""]","[""ندارد""]"
56871,ادو پرفیوم زنانه امپر مدل Chifon حجم 100 میلی لیتر,PC,1139954,2,2,verified,\N,عطر...,بوی تند ولی خوشبو داره.ماندگاریش خوبه و هر چقدر میگذره خوشبوتر میشه..,,
49738,ماشین اصلاح صورت رمینگتون مدل MB4555,PA,2764879,2,1,verified,\N,عمر مفید کوتاه,متاسفانه عمر مفید این ماشین کم هست و بعد از دو سال دیگه با باطری کار نمیکنه و گیر میکنه به نحوی که هیچیک از دکمه ها کار نمیکنه تا چند ساعت در این حالت میمونه دوباره با اتصال به برق کار میکنه,,"[""طراحی ارگونومیک نیست\r"",""حین اصلاح مو بین تیغه ها میمونه و کار رو سخت میکنه""]"
161548,فلاسک هنری مدل Virginia Special ظرفیت 1.9 لیتر,HW,3934937,1,0,verified,no_idea,خوب بودممنون,خوب بودممنون,,
