comments_total,recommended_total,not_recommended_total,selling_price,Quantity_item
1,1.0,0.0,560000.0,6.0
5,0.4,0.2,227500.0,1.0
2,0.5,0.0,7450000.0,3.0
2,0.0,0.5,59030.0,1.0
1,1.0,0.0,533333.3333333334,1.0
2,0.5,0.0,6981916.666666667,2.0
1,0.0,0.0,1978333.3333333333,1.0
2,1.0,0.0,11065454.545454545,1.0
2,0.5,0.0,2420557.1428571427,8.0
1,0.0,0.0,2685000.0,2.0
1,1.0,0.0,3142272.727272727,16.0
2,0.5,0.0,6063333.333333333,7.0
1,0.0,0.0,24958660.0,1.0
7,0.42857142857142855,0.14285714285714285,2913846.153846154,2.0
1,0.0,0.0,12662785.714285715,6.0
2,0.0,0.0,24975000.0,2.0
1,1.0,0.0,13863333.333333334,17.0
1,0.0,0.0,3598571.4285714286,1.0
1,1.0,0.0,22750000.0,1.0
1,1.0,0.0,23687500.0,1.0
1,0.0,0.0,171500.0,1.0
1,0.0,0.0,170500.0,1.0
1,0.0,0.0,22716666.666666668,3.0
1,0.0,0.0,1820000.0,1.0
1,0.0,0.0,5476000.0,1.0
1,1.0,0.0,923500.0,2.0
1,0.0,1.0,591125.0,1.0
1,0.0,1.0,6020000.0,9.0
1,1.0,0.0,2433333.3333333335,1.0
4,0.5,0.25,1362714.2857142857,1.0
1,0.0,0.0,8306666.666666667,1.0
1,0.0,0.0,352500.0,1.0
3,0.6666666666666666,0.0,249958.33333333334,1.0
1,1.0,0.0,298625.0,1.0
1,0.0,0.0,321100.0,1.0
2,0.0,0.0,213000.0,1.0
1,0.0,0.0,1046333.3333333334,1.0
1,0.0,0.0,7562500.0,4.0
1,0.0,0.0,1114500.0,1.0
1,1.0,0.0,353750.0,1.0
1,0.0,0.0,206333.33333333334,2.0
1,0.0,0.0,610000.0,3.0
1,0.0,1.0,715000.0,3.0
1,1.0,0.0,1826666.6666666667,1.0
1,0.0,1.0,1430000.0,1.0
1,1.0,0.0,180833.33333333334,1.0
1,1.0,0.0,173523.5294117647,3.0
2,0.0,0.5,337500.0,1.0
3,0.6666666666666666,0.0,12983333.333333334,9.0
1,1.0,0.0,8306666.666666667,11.0
1,0.0,1.0,2257500.0,4.0
1,1.0,0.0,117500.0,20.0
4,0.75,0.25,3076611.111111111,1.0
1,0.0,1.0,168300.0,1.0
1,1.0,0.0,743333.3333333334,1.0
1,1.0,0.0,547250.0,1.0
1,0.0,1.0,182000.0,1.0
2,1.0,0.0,2446333.3333333335,2.0
1,1.0,0.0,924600.0,2.0
1,1.0,0.0,12912857.142857144,5.0
1,0.0,0.0,11983750.0,2.0
1,0.0,0.0,520166.6666666667,1.0
1,0.0,0.0,8483250.0,1.0
1,0.0,0.0,48665000.0,1.0
1,0.0,0.0,12562500.0,2.0
1,0.0,0.0,76450000.0,1.0
1,0.0,0.0,8381000.0,1.0
1,0.0,0.0,4596200.0,1.0
3,0.0,1.0,82942.85714285714,4.0
1,0.0,1.0,1015000.0,3.0
1,1.0,0.0,6810833.333333333,1.0
2,0.0,0.5,7685000.0,3.0
1,0.0,1.0,2243000.0,1.0
1,0.0,0.0,1430000.0,1.0
1,0.0,0.0,1738333.3333333333,6.0
1,0.0,0.0,326272.7272727273,1.0
1,0.0,0.0,2592000.0,1.0
1,0.0,0.0,445000.0,1.0
1,1.0,0.0,1415000.0,1.0
1,0.0,1.0,6270000.0,1.0
3,0.6666666666666666,0.0,773000.0,4.0
1,1.0,0.0,374444.44444444444,1.0
2,1.0,0.0,766454.5454545454,3.0
1,0.0,0.0,3397500.0,1.0
2,0.5,0.0,876000.0,2.0
1,1.0,0.0,640000.0,2.0
3,0.6666666666666666,0.0,3949500.0,1.0
1,1.0,0.0,4023650.7352941176,5.0
1,0.0,1.0,34216000.0,3.0
1,1.0,0.0,2040000.0,1.0
1,0.0,1.0,529000.0,2.0
1,1.0,0.0,365000.0,2.0
1,1.0,0.0,144250.0,28.0
1,1.0,0.0,1350000.0,1.0
2,0.5,0.0,724750.0,1.0
1,1.0,0.0,25060000.0,1.0
1,1.0,0.0,3525000.0,1.0
1,0.0,1.0,870000.0,4.0
1,1.0,0.0,8250625.0,7.0
1,1.0,0.0,3780000.0,1.0
1,1.0,0.0,181250.0,1.0
2,0.0,0.5,3295789.4736842103,1.0
1,0.0,0.0,15656633.333333334,1.0
1,0.0,1.0,221875.0,1.0
2,0.5,0.0,35750000.0,1.0
1,0.0,0.0,30602500.0,2.0
2,0.0,0.0,829454.5454545454,6.0
2,0.5,0.0,3200000.0,1.0
2,0.5,0.0,23200000.0,6.0
1,0.0,0.0,568750.0,1.0
2,0.0,0.0,538000.0,4.0
2,0.0,1.0,1100000.0,1.0
1,1.0,0.0,24416666.666666668,1.0
1,0.0,1.0,2019833.3333333333,1.0
1,0.0,0.0,14737777.777777778,1.0
1,0.0,0.0,3071428.5714285714,1.0
1,1.0,0.0,7500000.0,6.0
1,1.0,0.0,4569210.52631579,1.0
1,0.0,1.0,1365000.0,4.0
1,0.0,1.0,70000.0,18.0
1,1.0,0.0,228250.0,3.0
1,1.0,0.0,197500.0,4.0
1,1.0,0.0,3583333.3333333335,1.0
1,0.0,1.0,1500555.5555555555,1.0
1,1.0,0.0,485000.0,5.0
3,0.3333333333333333,0.0,1536666.6666666667,1.0
1,0.0,0.0,3650000.0,2.0
2,0.0,0.0,50060000.0,1.0
3,0.6666666666666666,0.3333333333333333,188916.66666666666,1.0
1,1.0,0.0,194850.0,1.0
2,0.0,0.0,1862857.142857143,5.0
1,1.0,0.0,4190000.0,3.0
1,1.0,0.0,1320000.0,1.0
4,0.5,0.25,59083.333333333336,1.0
1,0.0,0.0,285000.0,1.0
1,0.0,0.0,182333.33333333334,1.0
1,0.0,0.0,215000.0,1.0
1,0.0,0.0,1010000.0,1.0
1,1.0,0.0,2190000.0,1.0
1,1.0,0.0,265333.3333333333,1.0
1,0.0,0.0,1536000.0,1.0
2,0.5,0.0,186125.0,1.0
1,1.0,0.0,767500.0,1.0
1,1.0,0.0,119500.0,1.0
1,0.0,0.0,137822.22222222222,12.0
1,0.0,0.0,995000.0,2.0
1,0.0,0.0,2166800.0,2.0
3,0.3333333333333333,0.0,81369285.71428572,1.0
1,0.0,1.0,242000.0,1.0
1,0.0,0.0,310000.0,2.0
1,1.0,0.0,311333.3333333333,10.0
1,0.0,1.0,2475000.0,1.0
1,0.0,1.0,1299000.0,2.0
1,1.0,0.0,1350000.0,1.0
5,0.2,0.2,2968148.1481481483,1.0
1,0.0,1.0,381333.3333333333,1.0
2,1.0,0.0,310500.0,1.0
1,0.0,1.0,193000.0,1.0
1,0.0,1.0,255800.0,1.0
3,0.0,0.0,2300000.0,1.0
1,0.0,0.0,440000.0,5.0
1,0.0,1.0,1262600.0,1.0
1,0.0,1.0,269340.0,1.0
1,0.0,1.0,2970000.0,1.0
1,0.0,0.0,121062.5,2.0
2,1.0,0.0,1616333.3333333333,1.0
1,1.0,0.0,366666.6666666667,1.0
2,0.5,0.5,75000.0,1.0
1,0.0,0.0,1430000.0,1.0
1,0.0,0.0,195000.0,1.0
1,0.0,0.0,1696666.6666666667,1.0
1,0.0,0.0,236000.0,1.0
1,0.0,1.0,420000.0,1.0
1,0.0,1.0,281000.0,1.0
2,0.0,0.5,69075.0,1.0
1,0.0,0.0,164500.0,10.0
1,0.0,0.0,970000.0,2.0
1,0.0,1.0,78000.0,1.0
1,0.0,0.0,566200.0,1.0
1,0.0,0.0,120975.0,1.0
1,0.0,0.0,840000.0,2.0
2,0.0,0.5,85405.55555555556,1.0
1,1.0,0.0,101400.0,1.0
1,0.0,0.0,1425000.0,3.0
1,0.0,1.0,366000.0,1.0
1,1.0,0.0,92000.0,2.0
1,1.0,0.0,8453333.333333334,1.0
1,0.0,1.0,179600.0,1.0
1,0.0,0.0,3707500.0,1.0
2,0.0,0.5,534800.0,3.0
